Location_Type,Recovered
"Streets, Roads, Highways (Bicycle Path, Private Road)",76
"Single Home, House (Attach Garage, Cottage, Mobile)",44
"Apartment (Rooming House, Condo)",38
"Private Property (Pool, Shed, Detached Garage)",21
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",20
"Parking Lots (Apt., Commercial Or Non-Commercial)",17
"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",9
Bar / Restaurant,7
Go Station,3
"Open Areas (Lakes, Parks, Rivers)",3
