Cost_of_Bike,Frequency
500,1682
NA,1536
1000,1200
600,1153
0,979
800,877
400,855
300,825
700,819
200,760
1500,630
1200,510
2000,487
900,415
100,408
250,396
350,347
150,324
650,275
750,273
450,268
2500,262
3000,245
550,226
1300,180
1100,169
1400,142
850,139
1800,139
1600,133
4000,110
50,106
3500,102
1700,91
5000,87
120,74
2200,64
950,54
2300,50
6000,43
2400,42
4500,41
499,38
75,35
180,35
520,34
1250,34
599,33
130,30
2100,29
2800,29
80,28
1900,28
160,27
7000,27
60,26
699,26
220,25
140,24
375,24
10000,24
175,23
399.99,23
549,22
125,21
170,21
299,21
499.99,21
549.99,21
2600,21
399,20
540,20
999,20
1050,20
1150,20
1350,20
275,19
630,19
2700,19
3200,19
380,18
420,18
530,18
620,18
625,18
860,18
230,17
360,17
560,17
70,16
640,16
675,16
799,16
110,15
225,15
240,15
565,15
580,15
5500,15
260,14
299.99,14
320,14
480,14
575,14
280,13
599.99,13
999.99,13
8000,13
20,12
40,12
270,12
325,12
649,12
680,12
720,12
899,12
1650,12
2900,12
3400,12
30,11
90,11
198,11
379.99,11
440,11
659,11
670,11
790,11
3600,11
99,10
340,10
679,10
725,10
799.99,10
820,10
3100,10
3300,10
169.99,9
330,9
349.99,9
370,9
395,9
430,9
475,9
629,9
660,9
690,9
699.99,9
875,9
1299,9
138,8
178,8
279,8
429,8
449,8
579,8
595,8
695,8
760,8
830,8
1199,8
1550,8
2250,8
3700,8
3800,8
6500,8
139.99,7
169,7
189,7
290,7
460,7
519,7
570,7
749,7
749.99,7
770,7
829,7
870,7
1099,7
1149,7
1499,7
1750,7
4300,7
109,6
185,6
190,6
199,6
425,6
489,6
519.99,6
525,6
589,6
729,6
735,6
740,6
789.87,6
825,6
840,6
880,6
899.99,6
903.99,6
949,6
960,6
1049,6
1450,6
1999,6
4800,6
7500,6
25,5
65,5
112,5
113,5
129,5
168,5
219.99,5
310,5
339,5
355,5
390,5
439,5
479,5
529,5
579.99,5
587,5
590,5
619.99,5
649.99,5
677,5
678,5
759,5
769,5
780,5
849,5
920,5
1130,5
1499.99,5
1599,5
2350,5
4200,5
9000,5
10,4
108,4
155,4
199.99,4
225.99,4
235,4
269,4
289,4
305,4
315,4
329.99,4
338.99,4
379,4
385,4
389,4
429.99,4
465,4
469.99,4
470,4
479.99,4
490,4
510,4
559.99,4
610,4
621.49,4
639,4
659.99,4
669.99,4
679.99,4
730,4
757,4
890,4
960.49,4
1025,4
1062,4
1850,4
1920,4
2050,4
2260,4
2699,4
2850,4
9500,4
1,3
35,3
78,3
99.99,3
109.99,3
115,3
135,3
179.99,3
232,3
259,3
269.99,3
279.99,3
298,3
319,3
323,3
349,3
359,3
359.99,3
369,3
389.99,3
406,3
409,3
449.99,3
450.87,3
452,3
508.49,3
513,3
535,3
542.39,3
545,3
553,3
555,3
564.99,3
585,3
597,3
615,3
619,3
665,3
666,3
676.87,3
677.99,3
687,3
710,3
719,3
723,3
734,3
734.49,3
745,3
768.39,3
769.99,3
775,3
790.99,3
795,3
819,3
925,3
979,3
980,3
989,3
990,3
994,3
995,3
1017,3
1065,3
1075,3
1399,3
1449,3
1699,3
1799,3
1899,3
2550,3
3041,3
3135.99,3
3450,3
4400,3
5700,3
6300,3
8500,3
12000,3
13000,3
15000,3
85,2
88,2
98,2
112.99,2
117,2
145,2
148,2
149,2
149.99,2
159,2
159.99,2
165,2
169.49,2
174.99,2
179,2
189.99,2
212,2
219,2
229.99,2
239,2
239.99,2
259.82,2
272,2
274.99,2
293.79,2
309,2
316.39,2
319.99,2
324,2
338,2
365,2
369.99,2
373,2
374.97,2
395.5,2
396,2
410,2
418,2
419,2
426,2
439.99,2
446.35,2
451.86,2
459,2
459.99,2
469,2
485,2
485.89,2
489.99,2
491.55,2
507,2
508,2
509,2
514,2
519.8,2
527,2
528,2
529.99,2
536,2
539,2
549.95,2
558,2
569,2
574.9,2
581,2
586.47,2
593,2
598,2
604.55,2
609,2
621,2
622,2
629.99,2
633,2
635,2
639.99,2
644,2
645,2
655,2
666.65,2
666.69,2
669,2
676,2
679.95,2
682.49,2
684,2
685,2
688,2
689.28,2
689.99,2
699.95,2
703,2
705,2
722,2
733.36,2
733.37,2
737,2
758,2
791,2
829.99,2
845,2
859,2
863,2
866,2
870.09,2
895,2
902.86,2
903,2
904,2
906,2
937.84,2
940,2
955.7,2
959.37,2
959.99,2
967,2
969,2
970,2
975,2
979.99,2
998,2
998.91,2
1009,2
