Occurrence_Time,Frequency
00:00:00,642
00:01:00,161
00:02:00,1
00:03:00,1
00:04:00,1
00:05:00,65
00:07:00,1
00:09:00,1
00:10:00,18
00:13:00,3
00:14:00,2
00:15:00,32
00:17:00,1
00:20:00,21
00:21:00,1
00:22:00,1
00:23:00,2
00:24:00,3
00:25:00,15
00:27:00,5
00:28:00,1
00:30:00,84
00:31:00,1
00:32:00,1
00:34:00,3
00:35:00,13
00:40:00,9
00:41:00,1
00:44:00,1
00:45:00,19
00:47:00,2
00:50:00,16
00:53:00,2
00:54:00,2
00:55:00,10
01:00:00,343
01:01:00,3
01:04:00,5
01:05:00,11
01:06:00,1
01:07:00,1
01:10:00,15
01:13:00,3
01:14:00,2
01:15:00,26
01:17:00,4
01:18:00,3
01:20:00,7
01:21:00,1
01:22:00,2
01:24:00,1
01:25:00,19
01:26:00,2
01:27:00,1
01:30:00,61
01:31:00,1
01:33:00,3
01:34:00,1
01:35:00,5
01:40:00,12
01:42:00,1
01:43:00,1
01:45:00,16
01:46:00,1
01:47:00,2
01:48:00,2
01:49:00,1
01:50:00,11
01:52:00,2
01:53:00,1
01:54:00,2
01:55:00,10
01:56:00,1
01:57:00,1
02:00:00,184
02:01:00,2
02:05:00,17
02:06:00,1
02:09:00,3
02:10:00,8
02:11:00,1
02:12:00,1
02:13:00,2
02:14:00,4
02:15:00,16
02:18:00,1
02:19:00,2
02:20:00,12
02:21:00,2
02:24:00,1
02:25:00,6
02:26:00,1
02:29:00,2
02:30:00,45
02:31:00,3
02:32:00,1
02:33:00,1
02:34:00,4
02:35:00,8
02:36:00,2
02:38:00,1
02:40:00,6
02:43:00,1
02:45:00,14
02:50:00,14
02:51:00,1
02:53:00,1
02:55:00,4
03:00:00,136
03:03:00,2
03:05:00,5
03:06:00,3
03:08:00,1
03:09:00,1
03:10:00,8
03:11:00,1
03:12:00,1
03:14:00,1
03:15:00,13
03:20:00,10
03:21:00,2
03:24:00,1
03:25:00,3
03:26:00,3
03:29:00,1
03:30:00,39
03:31:00,2
03:32:00,2
03:34:00,3
03:35:00,1
03:37:00,2
03:38:00,1
03:39:00,1
03:40:00,15
03:42:00,2
03:45:00,12
03:48:00,1
03:50:00,7
03:52:00,2
03:53:00,2
03:54:00,1
03:55:00,9
03:56:00,3
03:57:00,4
04:00:00,77
04:02:00,4
04:05:00,6
04:07:00,1
04:09:00,2
04:10:00,4
04:11:00,2
04:12:00,3
04:13:00,4
04:15:00,2
04:17:00,1
04:20:00,10
04:21:00,1
04:25:00,4
04:26:00,2
04:27:00,1
04:30:00,35
04:32:00,1
04:33:00,1
04:34:00,2
04:35:00,3
04:36:00,1
04:40:00,5
04:41:00,1
04:43:00,1
04:44:00,5
04:45:00,9
04:46:00,1
04:50:00,13
04:51:00,1
04:52:00,2
04:54:00,3
04:55:00,5
04:57:00,1
04:59:00,1
05:00:00,85
05:01:00,1
05:02:00,1
05:04:00,1
05:05:00,5
05:06:00,5
05:10:00,8
05:13:00,1
05:14:00,5
05:15:00,7
05:16:00,3
05:19:00,1
05:20:00,8
05:22:00,2
05:23:00,2
05:24:00,1
05:25:00,6
05:26:00,2
05:27:00,1
05:30:00,42
05:32:00,1
05:34:00,1
05:36:00,1
05:37:00,1
05:39:00,1
05:40:00,5
05:43:00,5
05:45:00,14
05:50:00,7
05:54:00,1
05:55:00,7
05:59:00,1
06:00:00,128
06:02:00,1
06:04:00,1
06:05:00,4
06:07:00,2
06:09:00,1
06:10:00,8
06:11:00,1
06:12:00,1
06:15:00,18
06:19:00,2
06:20:00,10
06:22:00,1
06:23:00,1
06:24:00,2
06:25:00,3
06:26:00,1
06:27:00,1
06:30:00,65
06:32:00,3
06:33:00,1
06:34:00,1
06:35:00,9
06:36:00,2
06:38:00,2
06:40:00,8
06:41:00,1
06:43:00,4
06:45:00,27
06:47:00,2
06:48:00,2
06:50:00,20
06:52:00,1
06:54:00,1
06:55:00,11
06:57:00,1
06:58:00,3
06:59:00,1
07:00:00,206
07:03:00,1
07:05:00,12
07:07:00,2
07:10:00,19
07:11:00,1
07:15:00,29
07:18:00,1
07:19:00,3
07:20:00,22
07:23:00,2
07:24:00,2
07:25:00,15
07:26:00,1
07:28:00,2
07:29:00,1
07:30:00,142
07:31:00,1
07:34:00,1
07:35:00,11
07:40:00,11
07:42:00,1
07:44:00,4
07:45:00,43
07:46:00,4
07:50:00,23
07:52:00,2
07:53:00,1
07:54:00,1
07:55:00,10
07:56:00,1
07:59:00,1
08:00:00,378
08:01:00,1
08:03:00,2
08:05:00,23
08:07:00,1
08:08:00,4
08:09:00,2
08:10:00,28
08:11:00,1
08:13:00,1
08:15:00,68
08:16:00,1
08:17:00,3
08:18:00,2
08:20:00,41
08:21:00,1
08:22:00,2
08:23:00,1
08:25:00,25
08:28:00,2
08:29:00,1
08:30:00,255
08:31:00,1
08:33:00,2
08:35:00,28
08:37:00,4
08:38:00,1
08:40:00,47
08:43:00,1
08:44:00,1
08:45:00,91
08:46:00,2
08:47:00,2
08:49:00,1
08:50:00,41
08:52:00,1
08:53:00,3
08:55:00,25
08:57:00,1
09:00:00,664
09:01:00,1
09:02:00,1
09:04:00,1
09:05:00,27
09:06:00,1
09:07:00,1
09:09:00,5
09:10:00,40
09:11:00,1
09:12:00,2
09:13:00,1
09:14:00,2
09:15:00,87
09:16:00,1
09:18:00,1
09:19:00,5
09:20:00,38
09:22:00,1
09:25:00,27
09:26:00,1
09:27:00,4
09:30:00,195
09:31:00,1
09:35:00,29
09:38:00,1
09:39:00,2
09:40:00,25
09:41:00,1
09:43:00,1
09:44:00,1
09:45:00,46
09:46:00,1
09:48:00,1
09:49:00,1
09:50:00,45
09:53:00,1
09:55:00,18
09:56:00,1
09:58:00,1
09:59:00,1
10:00:00,400
10:01:00,1
10:03:00,2
10:04:00,1
10:05:00,24
10:06:00,1
10:09:00,1
10:10:00,30
10:11:00,1
10:12:00,2
10:15:00,47
10:17:00,2
10:18:00,3
10:19:00,1
10:20:00,35
10:22:00,1
10:23:00,1
10:24:00,4
10:25:00,17
10:27:00,1
10:28:00,3
10:30:00,168
10:31:00,1
10:32:00,2
10:33:00,6
10:35:00,20
10:39:00,1
10:40:00,30
10:43:00,2
10:45:00,39
10:46:00,1
10:48:00,1
10:50:00,23
10:51:00,1
10:53:00,2
10:54:00,2
10:55:00,19
11:00:00,308
11:01:00,3
11:02:00,3
11:03:00,1
11:04:00,3
11:05:00,17
11:06:00,1
11:08:00,1
11:09:00,1
11:10:00,32
11:12:00,1
11:13:00,3
11:15:00,59
11:16:00,1
11:17:00,1
11:18:00,1
11:20:00,28
11:22:00,1
11:24:00,2
11:25:00,18
11:26:00,2
11:28:00,2
11:30:00,139
11:33:00,2
11:35:00,27
11:36:00,1
11:37:00,1
11:38:00,1
11:40:00,35
11:43:00,7
11:44:00,2
11:45:00,56
11:50:00,35
11:53:00,2
11:55:00,23
11:56:00,1
11:59:00,4
12:00:00,695
12:01:00,3
12:04:00,1
12:05:00,40
12:06:00,3
12:08:00,1
12:09:00,3
12:10:00,30
12:11:00,1
12:12:00,2
12:13:00,1
12:14:00,1
12:15:00,62
12:16:00,1
12:17:00,2
12:18:00,2
12:19:00,1
12:20:00,37
12:21:00,7
12:22:00,1
12:23:00,4
12:25:00,32
12:28:00,2
12:30:00,175
12:31:00,1
12:32:00,2
12:33:00,2
12:34:00,1
12:35:00,41
12:36:00,2
12:38:00,4
12:40:00,38
12:42:00,2
12:43:00,3
12:45:00,45
12:47:00,2
12:48:00,2
12:50:00,34
12:51:00,2
12:53:00,2
12:55:00,23
12:58:00,3
12:59:00,4
13:00:00,400
13:01:00,7
13:02:00,1
13:03:00,2
13:04:00,1
13:05:00,28
13:06:00,1
13:07:00,2
13:09:00,1
13:10:00,39
13:11:00,4
13:12:00,2
13:13:00,3
13:14:00,1
13:15:00,55
13:16:00,1
13:17:00,3
13:18:00,2
13:20:00,29
13:21:00,1
13:22:00,1
13:23:00,2
13:25:00,24
13:26:00,2
13:28:00,1
13:30:00,167
13:31:00,1
13:32:00,2
13:33:00,1
13:35:00,25
13:37:00,2
13:38:00,1
13:40:00,34
13:41:00,1
13:42:00,2
13:43:00,1
13:44:00,1
13:45:00,41
13:47:00,2
13:50:00,28
13:52:00,2
13:53:00,1
13:54:00,1
13:55:00,22
13:56:00,2
13:57:00,1
14:00:00,436
14:02:00,2
14:03:00,1
14:05:00,34
14:08:00,2
14:10:00,31
14:11:00,1
14:12:00,1
14:13:00,1
14:14:00,1
14:15:00,55
14:17:00,1
14:18:00,2
14:19:00,3
14:20:00,35
14:21:00,1
14:22:00,3
14:25:00,16
14:26:00,2
14:28:00,2
14:29:00,1
14:30:00,191
14:34:00,2
14:35:00,21
14:37:00,2
14:38:00,1
14:39:00,2
14:40:00,30
14:42:00,2
14:43:00,1
14:44:00,1
14:45:00,53
14:47:00,2
14:48:00,1
14:50:00,27
14:55:00,25
14:56:00,1
14:57:00,1
14:58:00,1
15:00:00,450
15:02:00,1
15:04:00,1
15:05:00,18
15:06:00,1
15:07:00,5
15:08:00,2
15:09:00,3
15:10:00,30
15:11:00,1
15:13:00,1
15:14:00,1
15:15:00,70
15:16:00,1
15:17:00,2
15:18:00,2
15:19:00,3
15:20:00,39
15:21:00,3
15:25:00,20
15:26:00,1
15:28:00,3
15:29:00,1
15:30:00,214
15:31:00,1
15:32:00,2
15:33:00,2
15:35:00,25
15:36:00,1
15:37:00,2
15:39:00,1
15:40:00,41
15:42:00,2
15:43:00,2
15:44:00,1
15:45:00,65
15:46:00,1
15:47:00,3
15:48:00,1
15:50:00,26
15:55:00,18
15:56:00,3
15:57:00,1
15:58:00,1
16:00:00,502
16:01:00,1
16:03:00,1
16:04:00,1
16:05:00,23
16:06:00,1
16:08:00,2
16:10:00,38
16:11:00,2
16:13:00,1
16:14:00,1
16:15:00,52
16:16:00,2
16:17:00,1
16:18:00,1
16:20:00,39
16:21:00,2
16:23:00,1
16:24:00,1
16:25:00,26
16:26:00,2
16:28:00,1
16:29:00,4
16:30:00,238
16:33:00,2
16:34:00,3
16:35:00,24
16:36:00,1
16:37:00,1
16:38:00,2
16:40:00,32
16:42:00,2
16:45:00,63
16:46:00,4
16:47:00,2
16:48:00,3
16:49:00,1
16:50:00,40
16:51:00,1
16:52:00,3
16:55:00,21
16:56:00,4
16:58:00,1
17:00:00,650
17:01:00,5
17:02:00,2
17:03:00,1
17:05:00,28
17:06:00,1
17:09:00,2
17:10:00,43
17:13:00,3
17:14:00,2
17:15:00,78
17:16:00,1
17:17:00,2
17:18:00,1
17:19:00,1
17:20:00,40
17:22:00,2
17:23:00,1
17:25:00,36
17:26:00,2
17:29:00,1
17:30:00,233
17:34:00,1
17:35:00,31
17:36:00,1
17:37:00,1
17:38:00,5
17:40:00,35
17:41:00,1
17:42:00,2
17:43:00,2
17:44:00,1
17:45:00,54
17:46:00,2
17:47:00,1
17:48:00,1
17:49:00,2
17:50:00,39
17:55:00,29
17:58:00,1
18:00:00,750
18:01:00,3
18:03:00,1
18:04:00,2
18:05:00,30
18:06:00,2
18:07:00,1
18:09:00,1
18:10:00,48
18:11:00,1
18:12:00,1
18:13:00,2
18:14:00,1
18:15:00,67
18:17:00,2
18:18:00,2
18:19:00,1
18:20:00,49
18:21:00,1
18:22:00,1
18:23:00,2
